 component   0 : { size: 11927552, (unique: 7914054), root:   0, level:   0, parent:   0 } 
 component 262 : { size:   7, (unique:   7), root: 8462795, level:   2, parent:   1 } 

 component 263 : { size:   1, (unique:   1), root: 8471498, level:   2, parent:   1 } 

 component 264 : { size:   1, (unique:   1), root: 8493326, level:   2, parent:   1 } 

 component 265 : { size:   1, (unique:   1), root: 8511989, level:   2, parent:   1 } 

 component 266 : { size:   1, (unique:   1), root: 8515014, level:   2, parent:   1 } 

 component 267 : { size:   1, (unique:   1), root: 8540100, level:   2, parent:   1 } 

 component 268 : { size:   1, (unique:   1), root: 8556160, level:   2, parent:   1 } 

 component 269 : { size:   1, (unique:   1), root: 8558582, level:   2, parent:   1 } 

 component 270 : { size:  13, (unique:  13), root: 8563596, level:   2, parent:   1 } 

 component 271 : { size:   2, (unique:   2), root: 8602206, level:   2, parent:   1 } 

 component 272 : { size:   1, (unique:   1), root: 8605175, level:   2, parent:   1 } 

 component 273 : { size:   2, (unique:   2), root: 8642603, level:   2, parent:   1 } 

 component 274 : { size:   1, (unique:   1), root: 8649161, level:   2, parent:   1 } 

 component 275 : { size:   1, (unique:   1), root: 8651585, level:   2, parent:   1 } 

 component 276 : { size:   1, (unique:   1), root: 8655608, level:   2, parent:   1 } 

 component 277 : { size: 285, (unique: 285), root: 8679129, level:   2, parent:   1 } 

 component 278 : { size:   1, (unique:   1), root: 8689012, level:   2, parent:   1 } 

 component 279 : { size:   2, (unique:   2), root: 8689376, level:   2, parent:   1 } 

 component 280 : { size:   1, (unique:   1), root: 8689741, level:   2, parent:   1 } 

 component 281 : { size:   1, (unique:   1), root: 8703369, level:   2, parent:   1 } 

 component 282 : { size:   1, (unique:   1), root: 8725898, level:   2, parent:   1 } 

 component 283 : { size:   1, (unique:   1), root: 8773231, level:   2, parent:   1 } 

 component 284 : { size:   1, (unique:   1), root: 8774335, level:   2, parent:   1 } 

 component 285 : { size:   1, (unique:   1), root: 8774518, level:   2, parent:   1 } 

 component 286 : { size:   1, (unique:   1), root: 8791181, level:   2, parent:   1 } 

 component 287 : { size:   1, (unique:   1), root: 8791546, level:   2, parent:   1 } 

 component 288 : { size:   3, (unique:   3), root: 8834071, level:   2, parent:   1 } 

 component 289 : { size:   1, (unique:   1), root: 8837774, level:   2, parent:   1 } 

 component 290 : { size:   1, (unique:   1), root: 8840609, level:   2, parent:   1 } 

 component 291 : { size:   1, (unique:   1), root: 8842903, level:   2, parent:   1 } 

 component 292 : { size:   1, (unique:   1), root: 8865490, level:   2, parent:   1 } 

 component 293 : { size:   1, (unique:   1), root: 8866398, level:   2, parent:   1 } 

 component 294 : { size:   1, (unique:   1), root: 8870744, level:   2, parent:   1 } 

 component 295 : { size:   1, (unique:   1), root: 8887019, level:   2, parent:   1 } 

 component 296 : { size:   8, (unique:   8), root: 8889009, level:   2, parent:   1 } 

 component 297 : { size:   1, (unique:   1), root: 8889190, level:   2, parent:   1 } 

