 component   0 : { size: 11927552, (unique: 7947833), root:   0, level:   0, parent:   0 } 
 component 109 : { size:  41, (unique:  41), root: 1377581, level:   1, parent:   0 } 

 component 110 : { size:   1, (unique:   1), root: 1389713, level:   1, parent:   0 } 

 component 111 : { size:   1, (unique:   1), root: 1392250, level:   1, parent:   0 } 

 component 112 : { size:   4, (unique:   4), root: 1413853, level:   1, parent:   0 } 

 component 113 : { size:   1, (unique:   1), root: 1436668, level:   1, parent:   0 } 

 component 114 : { size:   2, (unique:   2), root: 1441690, level:   1, parent:   0 } 

 component 115 : { size:  11, (unique:  10), root: 1510719, level:   1, parent:   0 } 

 component 116 : { size:   1, (unique:   1), root: 1515860, level:   1, parent:   0 } 

 component 117 : { size:   2, (unique:   2), root: 1516811, level:   1, parent:   0 } 

 component 118 : { size:   2, (unique:   2), root: 1518088, level:   1, parent:   0 } 

 component 119 : { size:   1, (unique:   1), root: 1563038, level:   1, parent:   0 } 

 component 120 : { size:   4, (unique:   4), root: 1581289, level:   1, parent:   0 } 

 component 121 : { size:   1, (unique:   1), root: 1609813, level:   1, parent:   0 } 

 component 122 : { size:   1, (unique:   1), root: 1611818, level:   1, parent:   0 } 

 component 123 : { size:   3, (unique:   3), root: 1621111, level:   1, parent:   0 } 

 component 124 : { size:   1, (unique:   1), root: 1621841, level:   1, parent:   0 } 

 component 125 : { size:   1, (unique:   1), root: 1626955, level:   1, parent:   0 } 

 component 126 : { size:   1, (unique:   1), root: 1628274, level:   1, parent:   0 } 

 component 127 : { size:   1, (unique:   1), root: 1657136, level:   1, parent:   0 } 

 component 128 : { size:   2, (unique:   2), root: 1657500, level:   1, parent:   0 } 

 component 129 : { size:   1, (unique:   1), root: 1673365, level:   1, parent:   0 } 

 component 130 : { size:   3, (unique:   3), root: 1674684, level:   1, parent:   0 } 

 component 131 : { size:   7, (unique:   7), root: 1697269, level:   1, parent:   0 } 

 component 132 : { size:   1, (unique:   1), root: 1714112, level:   1, parent:   0 } 

 component 133 : { size:   7, (unique:   7), root: 1719775, level:   1, parent:   0 } 

 component 134 : { size:   1, (unique:   1), root: 1747001, level:   1, parent:   0 } 

 component 135 : { size:  23, (unique:  21), root: 1747364, level:   1, parent:   0 } 

 component 136 : { size:   2, (unique:   2), root: 1764078, level:   1, parent:   0 } 

 component 137 : { size:   2, (unique:   2), root: 1764259, level:   1, parent:   0 } 

 component 138 : { size:   1, (unique:   1), root: 1766072, level:   1, parent:   0 } 

 component 139 : { size:   1, (unique:   1), root: 1808575, level:   1, parent:   0 } 

 component 140 : { size:   1, (unique:   1), root: 1810308, level:   1, parent:   0 } 

 component 141 : { size:   1, (unique:   1), root: 1857624, level:   1, parent:   0 } 

 component 142 : { size:  20, (unique:  20), root: 1948817, level:   1, parent:   0 } 

 component 143 : { size:   1, (unique:   1), root: 1948997, level:   1, parent:   0 } 

 component 144 : { size:   1, (unique:   1), root: 1952006, level:   1, parent:   0 } 

 component 145 : { size:  13, (unique:  10), root: 1952372, level:   1, parent:   0 } 

 component 146 : { size:   1, (unique:   1), root: 1952555, level:   1, parent:   0 } 

 component 147 : { size:   1, (unique:   1), root: 1973176, level:   1, parent:   0 } 

 component 148 : { size:  24, (unique:  20), root: 1974270, level:   1, parent:   0 } 

 component 149 : { size:   4, (unique:   4), root: 2026733, level:   1, parent:   0 } 

 component 150 : { size:   1, (unique:   1), root: 2040074, level:   1, parent:   0 } 

 component 151 : { size:   2, (unique:   2), root: 2081689, level:   1, parent:   0 } 

 component 152 : { size:   2, (unique:   2), root: 2092332, level:   1, parent:   0 } 

 component 153 : { size:   1, (unique:   1), root: 2093648, level:   1, parent:   0 } 

 component 154 : { size:   1, (unique:   1), root: 2113099, level:   1, parent:   0 } 

 component 155 : { size:   1, (unique:   1), root: 2113327, level:   1, parent:   0 } 

 component 156 : { size:   1, (unique:   1), root: 2113506, level:   1, parent:   0 } 

 component 157 : { size:  92, (unique:  84), root: 2114776, level:   1, parent:   0 } 

 component 158 : { size:   1, (unique:   1), root: 2127195, level:   1, parent:   0 } 

 component 159 : { size:   1, (unique:   1), root: 2140237, level:   1, parent:   0 } 

 component 160 : { size:   1, (unique:   1), root: 2160099, level:   1, parent:   0 } 

 component 161 : { size:   2, (unique:   2), root: 2166691, level:   1, parent:   0 } 

 component 162 : { size:   4, (unique:   4), root: 2182681, level:   1, parent:   0 } 

 component 163 : { size:   3, (unique:   3), root: 2206874, level:   1, parent:   0 } 

 component 164 : { size:  14, (unique:  14), root: 2252140, level:   1, parent:   0 } 

 component 165 : { size:   2, (unique:   2), root: 2262466, level:   1, parent:   0 } 

 component 166 : { size:   1, (unique:   1), root: 2263557, level:   1, parent:   0 } 

 component 167 : { size:   1, (unique:   1), root: 2306467, level:   1, parent:   0 } 

 component 168 : { size:   1, (unique:   1), root: 2314473, level:   1, parent:   0 } 

 component 169 : { size:   4, (unique:   4), root: 2321732, level:   1, parent:   0 } 

 component 170 : { size:   1, (unique:   1), root: 2346218, level:   1, parent:   0 } 

 component 171 : { size:   1, (unique:   1), root: 2347024, level:   1, parent:   0 } 

 component 172 : { size:   1, (unique:   1), root: 2347205, level:   1, parent:   0 } 

 component 173 : { size:   1, (unique:   1), root: 2347386, level:   1, parent:   0 } 

 component 174 : { size:   1, (unique:   1), root: 2353240, level:   1, parent:   0 } 

 component 175 : { size:   1, (unique:   1), root: 2360564, level:   1, parent:   0 } 

 component 176 : { size:   3, (unique:   3), root: 2360747, level:   1, parent:   0 } 

 component 177 : { size:   2, (unique:   2), root: 2366513, level:   1, parent:   0 } 

 component 178 : { size:   2, (unique:   2), root: 2367317, level:   1, parent:   0 } 

 component 179 : { size:   9, (unique:   9), root: 2392990, level:   1, parent:   0 } 

 component 180 : { size:   7, (unique:   7), root: 2393248, level:   1, parent:   0 } 

